episodes,speakers,dialogue
71,leonard,"Sheldon, it’s not a great time, what do you want?"
71,sheldon,"Hello to you, too. I’m sorry, but this is important."
71,leonard,What is it?
71,sheldon,"Back to the Future II was in the Back to the Future III case, and Back to the Future III was, get this, in the Back to the Future II case."
71,leonard,So?
71,sheldon,"So, did you do that, or am I in the house with an intruder?"
71,leonard,"Sheldon, I got to go inside. It’s getting rough out here."
71,sheldon,"You’re dodging the question, I knew it was you. What was that?"
71,leonard,What was what?
71,sheldon,"This isn’t a very good connection, but it sounded like someone just released a kraken."
71,leonard,"Okay, I’m hanging up now. You know there’s no such thing as a k… "
71,sheldon,No!
71,sheldon,Penny.  Penny.  Penny. 
71,penny,What’s the matter?
71,sheldon,"Um, well, I was worried that you might be missing Leonard. And that might be causing you to have bad dreams, like the kind you’d get if you watched Clash of the Titans right before you went to bed."
71,penny,"Sweetie, did you have a bad dream?"
71,sheldon,"To be honest, I did."
71,penny,Aw.
71,sheldon,Back to the Future II was in the Back to the Future III case. Leonard did it.
71,penny,Good night.
71,sheldon,"No, wait. Perhaps I should sleep here so you don’t miss Leonard as much, uh, ’cause you’re being kind of a baby about it."
71,penny,You know what? That would make me feel better. Thank you.
71,sheldon,You’re welcome. Good night.
71,raj,"I think you’d be pleased to hear that this morning in the parking garage I saw this oil stain on the ground that was shaped just like my ex-girlfriend, Lucy, and I didn’t get upset at all."
71,howard,I’m proud of you.
71,raj,"Well, you should be, ’cause she was looking good."
71,sheldon,"Dear Lord, you’re an astronomer. Although you may have earthly woes, get your mind back on the stars. Gee, even the lowly dung beetle chooses to plot its course by using the Milky Way."
71,raj,Is that true?
71,sheldon,"Everything I say is true. Now, of course, the dung beetle also enjoys eating faeces, living in faeces and making little balls out of faeces, so, you know, pick and choose which aspects of its lifestyle you want to embrace."
71,howard,"Come on, you can talk to girls now. It shouldn’t be hard for you to meet someone new."
71,raj,"How can I meet someone new when everywhere I look, I see Lucy’s face? Tell me you don’t see her smile in the crust of this chicken pot pie."
71,howard,"Oh, will you stop it. Now, listen to me, there’s a welcome party for incoming post-docs tonight. Go to it and meet someone who isn’t made of grease or pie."
71,raj,You think you’re so cool because your wife is a person?
71,howard,"Look, Bernie’s at a neuroscience conference with Amy, I’ll go with you."
71,raj,You would do that for me?
71,howard,Of course. You’re my friend. I want you to be happy.
71,raj,"Thanks. Oh, Sheldon, since Amy’s out of town, would you like to join us?"
71,sheldon,"I want you to be happy, too, but not enough to do anything about it."
71,bernadette,"Howie, stop. I can’t talk like that. Amy’s right here."
71,amy,"Sheldon, stop. For the last time, I will not bring home bed bugs. "
71,bernadette,"The hotel’s nice. There’s a pool, a gym, the bar looks like fun. "
71,amy,"Because I looked in the bed, and there are no bugs."
71,bernadette,"Aw, I love you, too. If I don’t talk to you before you go to sleep, I’ll meet you in dreamland."
71,amy,"Good night. No, I will not consider sleeping in my garment bag."
71,sheldon,"Penny, did you ever wonder how Starfleet captains…"
71,penny,No.
71,sheldon,"Well, now that I’ve piqued your interest, welcome to the exciting world of 3D chess."
71,penny,Why don’t you just admit you only want to play this game because you always play it with Leonard and you miss him?
71,sheldon,You overestimate his significance in my life.
71,penny,Mmm.
71,sheldon,Do I miss how he makes a face on my toaster waffle with syrup? No. Do I miss the way he fixes the zipper on my jacket when it gets stuck? I don’t think so. Do I miss how we say good night to each other through the walls of our bedroom using Morse code? 
71,penny,"Okay, I get it, I get it. You are an emotionless robot."
71,sheldon,"Well, I try."
71,penny,"All right, let’s just get this stupid game over with."
71,sheldon,Great. I’ll go first.
71,penny,Okay.
71,sheldon,"By the way, how are you with zippers?"
71,penny,Why?
71,sheldon,"Well, I really need to go to the bathroom, and this one’s gone all cattywampus."
71,raj,"Wow, your work on jellyfish neural nets sounds so interesting. "
71,other,It is. You can download my paper off the university server.
71,raj,I will. You can download my paper on the Van Allen Belts from the university server as well.
71,other,I will.
71,raj,All right.
71,howard,How’d it go?
71,raj,"Well, if you like dry, factual statements interspersed with painful moments of silence, it was bananas."
71,howard,Check it out. Mrs. Davis from Human Resources is here. She’s probably on the lookout for sexual harassment.
71,raj,"Oh, great. There go my chances of being sexually harassed."
71,howard,"I heard her husband left her for a hot, young undergrad."
71,raj,"That’s so much better than the old, ugly ones."
71,other,"Mr. Wolowitz, Dr. Koothrappali. "
71,howard,"Mrs. Davis, nice to see you. "
71,raj,"You know, I recently read a fascinating article on infidelity among penguins."
71,other,Okay.
71,raj,"So if the fact that your husband left you makes you feel unattractive, just remember, penguins get cheated on, and they’re adorable."
71,howard,It was better when you couldn’t talk to women.
71,bernadette,I was thinking of going to the lecture on posterior cingulate cortex lesions in the formation of autobiographical memory.
71,amy,"Oh, brain lesions are fascinating. Unless they’re yours, then they’re a drag."
71,bernadette,To the advancement of science.
71,amy,And to the sick and dying who make it possible.
71,bernadette,"This is fun, we never really get to talk shop with Penny around. We usually just end up talking about boys."
71,amy,"Which is fine, but it’s nice to mix it up with a little intellectual conversation."
71,other,From the two gentlemen at the bar.
71,amy,"Oh, my gosh, boys bought us drinks, boys bought us drinks. Thank you, thank you, thank you so much."
71,bernadette,Be cool.
71,amy,"You be cool. Guys are hitting on us, and not just to get to Penny."
71,bernadette,You’re right. Thank you.
71,sheldon,Ooh. Bad move.
71,penny,Really? Why?
71,sheldon,My queen can now take your rook from below.
71,penny,"So that means I lose, right? It’s over?"
71,sheldon,"If I make this move, but I won’t because we’re having too much fun."
71,penny,"Okay, let’s take a break. "
71,sheldon,We’re all out of alcohol.
71,penny,"I wasn’t going to get alcohol. Gosh, I wonder what Leonard’s doing right now. I miss him so much."
71,sheldon,"Well, if you’d like, we could call him. I mean that you could call him. As I’ve explained, the absence of my friends does not cause me pain. As rock and roll bad boy Paul Simon once said, I am a rock, I am an i-i-i-island."
71,penny,I’m calling him.
71,sheldon,"Oh, goodie, put him on speaker phone."
71,leonard,"Excuse me, ladies, my pants are buzzing. North Sea, how can I kelp you?"
71,penny,Leonard?
71,leonard,"Penny? Hey, it’s Penny. Everybody say hi to Penny."
71,other,"Hi, Penny!"
71,penny,"Wow, it sounds like you’re having a good time."
71,leonard,Best time of my life. 
71,sheldon,Isn’t it five thirty in the morning there?
71,leonard,"Is it? Hey, everybody, it’s five thirty in the morning!"
71,penny,"Uh, okay, well, we were just calling you because we were missing you."
71,other,Iceberg!
71,leonard,"Uh-oh, hang on."
71,sheldon,Are you in danger?
71,leonard,"No, it’s a drinking game. Whenever we see an iceberg, we take a shot!"
71,other,Berg! Berg! Berg! Berg! Berg! Berg!
71,penny,"Leonard, Leonard? I cannot believe we were missing that jerk."
71,sheldon,You were.
71,amy,So what happened? How’d it go?
71,bernadette,It’s fine. I thanked them again and let them know we’re not available.
71,amy,So I can drink this without having to give up the goodies?
71,bernadette,"Yes, it’s all cool. Although, if you wanted to talk to one of them, no one would blame you."
71,amy,And why would no one blame me?
71,bernadette,I don’t know what I’m saying.
71,amy,"Well, it sounds like you’re saying that I could do better than Sheldon."
71,bernadette,"Boy, these drinks are strong. Hoo, mama, I’m gonna be huggin’ the toilet tonight."
71,amy,"No, tell me, I want to know what you meant by that."
71,bernadette,"I just meant that you’re not married and your boyfriend’s kind of, Sheldon."
71,amy,And your husband is extremely Howard. What’s your point?
71,bernadette,Sorry. I have no point. That was a stupid thing to say. Can we please just go back to having a nice time?
71,amy,"We could, but unfortunately my brain is lesion-free and I remember that rotten thing you just said about my sweet baboo."
71,bernadette,Come on. I apologize. Can we please just let it go?
71,amy,Sure.
71,bernadette,Thanks.
71,amy,Your husband’s weird and his clothes are ridiculous.
71,penny,I can’t believe it. All this time I’ve been doing nothing but sit around and miss that guy. And you know what the worst part is?
71,sheldon,That you’re having to process your emotional pain without vodka?
71,penny,No. Yeah. But you know what the second-worst part is? He does not miss me at all.
71,sheldon,Allow me to comfort you. At least you’ve got your health.
71,penny,"Really? That, that’s it? That’s comforting?"
71,sheldon,"Um, uh, in a hundred years, you’ll both be dead and it won’t matter?"
71,penny,"No. Come on, you’re supposed to say, of course he misses you, the only reason he’s partying is to cover up his pain."
71,sheldon,"Oh, no, I don’t think that’s true at all."
71,penny,This is ridiculous. Why am I upset just because he’s off having a good time?
71,sheldon,"Well, perhaps you’re obsessively picturing him engaged in drunken coitus with another woman. Is that it? Did I get it right?"
71,penny,"Okay, that, that’s great. You can stop trying to make me feel better now."
71,sheldon,"Actually, I can’t. Before Leonard left, he made me promise that I’d take care of you."
71,penny,He did?
71,sheldon,Yes.
71,penny,"Oh, that’s really sweet."
71,sheldon,"Plus, if I do a good job, he said he’d bring me back a sailor’s cap."
71,penny,"Well, now I miss him even more."
71,sheldon,"Well, if it’s any consolation, I’m sure Leonard’s tormented every moment he’s away from your warm embrace and cherry lips."
71,penny,Thanks.
71,sheldon,"Oh, seriously?"
71,raj,"Uh, excuse me, Mrs. Davis?"
71,other,What?
71,raj,"I’d like to apologize for being insensitive. And for possibly making penguins seem like jerks, because 99% of them are stand-up guys."
71,other,Forget about it.
71,raj,"You know, you, you and I, you and I have a lot in common."
71,other,Is that right?
