episodes,speakers,dialogue
031,joey, I'm tellin' ya that girl totally winked at me.
031,other," Did not, she did not wink at you...."
031,chandler, Huh. 
031,ross, I have to say Tupolo Honey by Van Morrison.
031,rachel, Nooo Way! The most romantic song ever is The Way We Were.
031,phoebe," See, I-I think that one that Elton John wrote for, um, that guy on Who's The Boss."
031,rachel," What song was that, Pheebs?"
031,phoebe,"  Hold me close, young Tony Dan-za."
031,phoebe, Hi Monica!
031,ross, Hey Mon!
031,rachel, Hey Mon!
031,phoebe," Oh my God, has she slept at all?"
031,ross, Nope.
031,rachel," No, it's been three nights in a row."
031,ross," Yeah, she finally stopped crying yesterday, but then she found one of Richard's cigar butts out on the terrace, so."
031,phoebe," Oh, okay that explains it. I got a call at two in the morning, but all I could hear was, like, this high squeaky sound, so I thought okay its like a mouse or a opossum. But then I realized where would a mouse or a opossum get the money to make the phone call."
031,chandler, Morning.
031,joey," Morning, hey, you made pancakes?"
031,chandler," Yeah, like there's any way I could ever do that."
031,other,  Good morning Joey.
031,joey,  Good morning.
031,chandler," Hey, you know what, here's a thought. Why don't you stay home from work today and just hang out with me."
031,other," Oh, I wish. Look, honey, you have that report to finish, and I gotta go see my lawyer. "
031,chandler, I can not believe that I am going out with someone that is getting divorced. I'm such a grown up.
031,other,"  I-I-I gotta go, I gotta go. Okay, not without a kiss."
031,chandler," Well, maybe I won't kiss you, and then you'll have to stay."
031,joey,  Kiss her! Kiss her!
031,other," I'll see you later, sweetie. Bye Joey."
031,joey, B-bye Janice. So when ya' dumpin' her.
031,chandler," Nope, not this time."
031,joey," Come on, quite yankin' me."
031,chandler, I'm not yanking you.
031,joey, This is Janice.
031,chandler," Yeah, I know. She makes me happy."
031,joey," Okay. All right. You look me in the eye and tell me, without blinking, that you're not breaking up with her. No blinking."
031,chandler, 
031,monica," God, look what I found in the drain."
031,rachel, What?!
031,monica, It's some of Richard's hair!  What do I do with this?
031,ross, Getting it away from me would be job one.
031,monica," It's weird, but you know what I don't wanna throw this away. I mean this is like all I have left of him, gross, drain hair. Ooh! "
031,phoebe," Ooh. Oh. It looks like, like a tiny little person drowning in your cereal. "
031,monica," God, what is wrong with me."
031,ross, You need to get some sleep.
031,monica, I need to get some Richard.
031,rachel," Monica, you broke up with him for a reason."
031,monica," I know, I know. I'm just so tired of-of missing him. I'm tired of wondering why hasn't he called. Why hasn't he called!"
031,phoebe," Maybe, because you told him not to."
031,monica, What are you the memory woman?
031,joey,  Their not breaking up. Chandler and Janice. Their not breaking up. He didn't blink or anything.
031,rachel," Well, you know I'm not surprised. I mean have you seen them together, they're really cute."
031,joey, Cute! This is Janice! You remember Janice?
