speakers,dialogue
joey, I'm tellin' ya that girl totally winked at me.
chandler, Huh. 
ross, I have to say Tupolo Honey by Van Morrison.
rachel, Nooo Way! The most romantic song ever is The Way We Were.
phoebe," See, I-I think that one that Elton John wrote for, um, that guy on Who's The Boss."
rachel," What song was that, Pheebs?"
phoebe,"  Hold me close, young Tony Dan-za."
phoebe, Hi Monica!
ross, Hey Mon!
rachel, Hey Mon!
phoebe," Oh my God, has she slept at all?"
ross, Nope.
rachel," No, it's been three nights in a row."
ross," Yeah, she finally stopped crying yesterday, but then she found one of Richard's cigar butts out on the terrace, so."
phoebe," Oh, okay that explains it. I got a call at two in the morning, but all I could hear was, like, this high squeaky sound, so I thought okay its like a mouse or a opossum. But then I realized where would a mouse or a opossum get the money to make the phone call."
chandler, Morning.
joey," Morning, hey, you made pancakes?"
chandler," Yeah, like there's any way I could ever do that."
joey,  Good morning.
chandler," Hey, you know what, here's a thought. Why don't you stay home from work today and just hang out with me."
chandler, I can not believe that I am going out with someone that is getting divorced. I'm such a grown up.
chandler," Well, maybe I won't kiss you, and then you'll have to stay."
joey,  Kiss her! Kiss her!
joey, B-bye Janice. So when ya' dumpin' her.
chandler," Nope, not this time."
joey," Come on, quite yankin' me."
chandler, I'm not yanking you.
joey, This is Janice.
chandler," Yeah, I know. She makes me happy."
joey," Okay. All right. You look me in the eye and tell me, without blinking, that you're not breaking up with her. No blinking."
chandler, 
monica," God, look what I found in the drain."
rachel, What?!
monica, It's some of Richard's hair!  What do I do with this?
ross, Getting it away from me would be job one.
monica," It's weird, but you know what I don't wanna throw this away. I mean this is like all I have left of him, gross, drain hair. Ooh! "
phoebe," Ooh. Oh. It looks like, like a tiny little person drowning in your cereal. "
monica," God, what is wrong with me."
ross, You need to get some sleep.
monica, I need to get some Richard.
rachel," Monica, you broke up with him for a reason."
monica," I know, I know. I'm just so tired of-of missing him. I'm tired of wondering why hasn't he called. Why hasn't he called!"
phoebe," Maybe, because you told him not to."
monica, What are you the memory woman?
joey,  Their not breaking up. Chandler and Janice. Their not breaking up. He didn't blink or anything.
rachel," Well, you know I'm not surprised. I mean have you seen them together, they're really cute."
joey, Cute! This is Janice! You remember Janice?
rachel," Yes, Joey, I remember, she's annoying, but you know what she's-she's his girlfriend now. I mean what can we do?"
joey, There you go! That's the spirit I'm looking for! What can we do? Huh? All right who's first? Huh? Ross?
ross," Well I'm thinking that Chandler's our friend and Janice makes him happy, so I say we just all be adult about it and accept her."
joey," Yeah, we'll call that Plan B. All right?"
rachel,"  Honey, I was wondering...."
ross, Hmm?
rachel," Do you still have that, um, Navy uniform?"
ross," Nooo, I had to return it to the costume place."
rachel, Hmm.
